medium;painter;title;url;year;local_filename;year_unambiguous;Observer;SessionID;TrialTimestamp;FlippedLR;Confidence;Estimates;Duration;Painting CenterXY;Painting size
Indian ink and color on paper;Zhao Mengfu;Autumn Colors on the Ch'iao and Hua Mountains;https://upload.wikimedia.org/wikipedia/commons/9/9a/2a_Zhao_Mengfu_Autumn_Colors_on_the_Qiao_and_Hua_Mountains_%28central_part%29Handscroll%2C_ink_and_colors_on_paper%2C_28.4_x_93.2_cm_National_Palace_Museum%2C_Taipei.jpg;1295;2a_Zhao_Mengfu_Autumn_Colors_on_the_Qiao_and_Hua_Mountains_%28central_part%29Handscroll%2C_ink_and_c.jpg;1295;HHA96w;2016-06-10-10-47-19;2016-06-10 10:49:45.364703;0.0;0.0;[];1.5818390846252441;(683.0, 314.0);(1100, 268)
oil on canvas;Ivan Nikolaevich Kramskoi;Der Müller;https://upload.wikimedia.org/wikipedia/commons/a/a3/A_miller_by_I.Kramskoy_%281873%2C_Russian_museum%29.jpg;1873;A_miller_by_I.Kramskoy_%281873%2C_Russian_museum%29.jpg;1873;HHA96w;nan;;;;nan;;nan;nan
oil on canvas;Abel Grimmer;Der Herbst;https://upload.wikimedia.org/wikipedia/commons/c/c9/Abel_Grimmer_001.jpg;1607;Abel_Grimmer_001.jpg;1607;HHA96w;nan;;;;nan;;nan;nan
oil on canvas;Abel Grimmer;Der Sommer;https://upload.wikimedia.org/wikipedia/commons/f/f7/Abel_Grimmer_002.jpg;1607;Abel_Grimmer_002.jpg;1607;HHA96w;2016-05-15-14-39-23;2016-05-15 15:02:34.434172;1.0;3.0;[{'End': (687, 447, 18.040142059326172), 'Start': (1206, 321, 16.021053075790405)}];19.388533115386966;(683.0, 314.0);(829, 580)
oil on canvas;Abraham Bloemaert;Bauernhof;https://upload.wikimedia.org/wikipedia/commons/3/3c/Abraham_Bloemaert_001.jpg;1617;Abraham_Bloemaert_001.jpg;1617;HHA96w;2016-06-03-16-32-59;2016-06-03 17:29:21.461015;0.0;4.0;[{'Start': (1138, 107, 11.059332132339478), 'End': (617, 564, 12.183341026306152)}];13.859822034835815;(683.0, 314.0);(864, 580)
oil on canvas;Abraham Bloemaert;Schäferin mit Trauben;https://upload.wikimedia.org/wikipedia/commons/b/b0/Abraham_Bloemaert_003.jpg;1628;Abraham_Bloemaert_003.jpg;1628;HHA96w;2016-06-10-10-47-19;2016-06-10 11:30:55.980758;0.0;5.0;[{'Start': (375, 57, 2.4401021003723145), 'End': (735, 446, 3.3030850887298584)}];4.247781991958618;(683.0, 314.0);(463, 580)
Wasserfarben, Pergament;Abraham Bosse;Der Ball;https://upload.wikimedia.org/wikipedia/commons/d/d6/Abraham_Bosse_001.jpg;1635;Abraham_Bosse_001.jpg;1635;HHA96w;2016-06-10-09-43-06;2016-06-10 09:59:06.922233;1.0;5.0;[{'End': (537, 389, 3.2147278785705566), 'Start': (1160, 92, 2.2453370094299316)}];4.2434329986572275;(683.0, 314.0);(824, 580)
oil on panel;Abraham van Beijeren;Stilleben mit Fischen;https://upload.wikimedia.org/wikipedia/commons/2/28/Abraham_Hendriksz_van_Beyeren_003.jpg;1655-1666;Abraham_Hendriksz_van_Beyeren_003.jpg;1666;HHA96w;nan;;;;nan;;nan;nan
oil on canvas;Abraham van Beijeren;Fischbank;https://upload.wikimedia.org/wikipedia/commons/5/5b/Abraham_Hendriksz._van_Beyeren_001.jpg;1650;Abraham_Hendriksz._van_Beyeren_001.jpg;1650;HHA96w;2016-06-12-18-25-41;2016-06-12 18:29:40.571880;1.0;5.0;[{'End': (600, 457, 10.114348888397217), 'Start': (1107, 44, 8.790175914764404)}];11.324265956878662;(683.0, 314.0);(720, 580)
oil on canvas;Abraham van Beijeren;Still life with fruit, roast, silver- and glassware, porcelain and columbine cup on a dark tablecloth with white serviette.;https://upload.wikimedia.org/wikipedia/commons/4/4f/Abraham_Hendriksz._van_Beyeren_002.jpg;between 1650 and 1670;Abraham_Hendriksz._van_Beyeren_002.jpg;1670;HHA96w;2016-06-03-16-32-59;2016-06-03 16:37:58.382205;1.0;4.0;[{'Start': (992, 41, 10.562020063400269), 'End': (1049, 116, 12.871362924575806)}, {'Start': (1091, 234, 13.40639591217041), 'End': (502, 397, 14.746567964553833)}];15.833736896514893;(683.0, 314.0);(513, 580)
oil on panel;Abraham Janssens;Scaldis   and  Antwerpia;https://upload.wikimedia.org/wikipedia/commons/d/df/Abraham_Janssens_001.jpg;1609;Abraham_Janssens_001.jpg;1609;HHA96w;2016-06-12-18-25-41;2016-06-12 18:27:09.490825;1.0;6.0;[{'End': (821, 452, 6.5066750049591064), 'Start': (312, 0, 4.976837158203125)}];7.6870291233062735;(683.0, 314.0);(1002, 580)
oil on canvas;Abram Efimovich Arkhipov;An der Wolga;https://upload.wikimedia.org/wikipedia/commons/b/b7/Abram_Jefimowitsch_Archipow_001.jpg;1889;Abram_Jefimowitsch_Archipow_001.jpg;1889;HHA96w;2016-06-10-10-47-19;2016-06-10 11:13:40.112972;1.0;3.0;[{'Start': (1285, 118, 6.44603705406189), 'End': (589, 459, 7.47379207611084)}];8.434792041778563;(683.0, 314.0);(920, 580)
oil on canvas;Abram Efimovich Arkhipov;The Washer Women;https://upload.wikimedia.org/wikipedia/commons/2/29/Abram_Jefimowitsch_Archipow_002.jpg;1901;Abram_Jefimowitsch_Archipow_002.jpg;1901;HHA96w;nan;;;;nan;;nan;nan
oil on canvas;Andreas Achenbach;Ufer des zugefrorenen Meeres (Winterlandschaft);https://upload.wikimedia.org/wikipedia/commons/2/2e/Andreas_Achenbach_003.jpg;1839;Andreas_Achenbach_003.jpg;1839;HHA96w;2016-05-15-14-39-23;2016-05-15 15:24:04.449693;0.0;0.0;[];3.0998330116271973;(683.0, 314.0);(943, 580)
oil on canvas;Andreas Achenbach;Landscape with a River;https://upload.wikimedia.org/wikipedia/commons/5/5c/Andreas_Achenbach_-_Landschaft_mit_Fluss.jpg;1866;Andreas_Achenbach_-_Landschaft_mit_Fluss.jpg;1866;HHA96w;nan;;;;nan;;nan;nan
oil on panel;Andreas Achenbach;Westphalian Watermill;https://upload.wikimedia.org/wikipedia/commons/3/38/Achenbach%2C_Andreas_-_Westf%C3%A4lische_Wasserm%C3%BChle.jpg;1863;Achenbach%2C_Andreas_-_Westf%C3%A4lische_Wasserm%C3%BChle.jpg;1863;HHA96w;2016-05-25-12-03-00;2016-05-25 12:14:09.009429;1.0;3.0;[{'Start': (381, 296, 3.6572089195251465), 'End': (740, 409, 4.545260906219482)}];5.8963379859924325;(683.0, 314.0);(508, 580)
oil on canvas;Oswald Achenbach;Klostergarten;https://upload.wikimedia.org/wikipedia/commons/e/e0/Oswald_Achenbach_002.jpg;1857;Oswald_Achenbach_002.jpg;1857;HHA96w;nan;;;;nan;;nan;nan
oil on canvas;Oswald Achenbach;Fireworks in Naples;https://upload.wikimedia.org/wikipedia/commons/c/ce/Oswald_Achenbach_001.jpg;1875;Oswald_Achenbach_001.jpg;1875;HHA96w;2016-06-12-18-25-41;2016-06-12 19:11:10.551470;0.0;0.0;[];7.072242021560669;(683.0, 314.0);(905, 580)
oil on canvas;Moi;Français :;https://upload.wikimedia.org/wikipedia/commons/4/4b/Achille-Jacques_F%C3%A9del_%282%29.JPG;between 1800 and 1850;Achille-Jacques_F%C3%A9del_%282%29.jpg;1850;HHA96w;nan;;;;nan;;nan;nan
illumination on parchment;Adalpertus;Codex Aureus von St. Emmeram, Szene: Porträt des Abtes Ramwoldus;https://upload.wikimedia.org/wikipedia/commons/1/13/Adalpertus_001.jpg;1000;Adalpertus_001.jpg;1000;HHA96w;nan;;;;nan;;nan;nan
oil on copper;Adam Elsheimer;Jupiter and Mercury at Philemon and Baucis;https://upload.wikimedia.org/wikipedia/commons/c/cc/Adam_Elsheimer_008.jpg;between 1609 and 1610;Adam_Elsheimer_008.jpg;1610;HHA96w;2016-05-15-14-39-23;2016-05-15 15:01:09.264939;0.0;3.0;[{'End': (558, 249, 8.598853826522827), 'Start': (250, 205, 7.4358229637146)}];10.796327829360962;(683.0, 314.0);(771, 580)
oil on canvas;Adolph Menzel;Weekday in Paris;https://upload.wikimedia.org/wikipedia/commons/d/d5/Adolf_Friedrich_Erdmann_von_Menzel_-_Pariser_Wochentag_-_museum_kunst_palast_D%C3%BCsseldorf.jpg;1869;Adolf_Friedrich_Erdmann_von_Menzel_-_Pariser_Wochentag_-_museum_kunst_palast_D%C3%BCsseldorf.jpg;1869;HHA96w;2016-06-05-19-42-57;2016-06-05 19:49:16.140105;1.0;5.0;[{'Start': (1208, 203, 2.9533400535583496), 'End': (446, 528, 4.15339994430542)}];5.14664888381958;(683.0, 314.0);(832, 580)
oil on paper mounted on millboard;Adolph Menzel;Abendgesellschaft;https://upload.wikimedia.org/wikipedia/commons/4/4f/Adolf_Friedrich_Erdmann_von_Menzel_001.jpg;1846-1847;Adolf_Friedrich_Erdmann_von_Menzel_001.jpg;1847;HHA96w;2016-05-25-12-03-00;2016-05-25 12:21:12.984956;1.0;5.0;[{'Start': (56, 505, 4.276247024536133), 'End': (802, 196, 4.879281997680664)}];5.9673449993133545;(683.0, 314.0);(925, 580)
Kolorierte Federzeichnung auf Papier;Adolph Menzel;Alfred der Große;https://upload.wikimedia.org/wikipedia/commons/8/85/Adolf_Friedrich_Erdmann_von_Menzel_002.jpg;1832;Adolf_Friedrich_Erdmann_von_Menzel_002.jpg;1832;HHA96w;2016-05-15-14-39-23;2016-05-15 15:22:50.947971;1.0;6.0;[{'End': (591, 467, 2.5910208225250244), 'Start': (963, 445, 1.8099629878997803)}];3.680885791778565;(683.0, 314.0);(465, 580)
gouache on paper;Adolph Menzel;Alte Synagoge zu Prag;https://upload.wikimedia.org/wikipedia/commons/b/b9/Adolf_Friedrich_Erdmann_von_Menzel_003.jpg;1866;Adolf_Friedrich_Erdmann_von_Menzel_003.jpg;1866;HHA96w;2016-05-29-20-23-22;2016-05-29 20:38:43.811323;1.0;0.0;[];1.7984361648559568;(683.0, 314.0);(452, 580)
oil on canvas;Adolph Menzel;Atelierwand;https://upload.wikimedia.org/wikipedia/commons/6/66/Adolf_Friedrich_Erdmann_von_Menzel_004.jpg;1872;Adolf_Friedrich_Erdmann_von_Menzel_004.jpg;1872;HHA96w;2016-05-25-12-03-00;2016-05-25 12:08:15.213951;0.0;3.0;[{'Start': (383, 582, 12.752739906311035), 'End': (772, 292, 13.552785873413086)}];14.948868989944458;(683.0, 314.0);(409, 580)
oil on canvas;Picasa;Aufbahrung der Märzgefallenen;https://upload.wikimedia.org/wikipedia/commons/8/8f/Adolf_Friedrich_Erdmann_von_Menzel_005.jpg;1848;Adolf_Friedrich_Erdmann_von_Menzel_005.jpg;1848;HHA96w;2016-06-10-09-43-06;2016-06-10 10:12:43.087922;0.0;5.0;[{'End': (529, 445, 3.638406991958618), 'Start': (1164, 69, 2.2885618209838867)}];4.530521869659424;(683.0, 314.0);(808, 580)
oil on canvas;Adolph Menzel;Aufbahrung der Märzgefallenen;https://upload.wikimedia.org/wikipedia/commons/1/1c/Adolf_Friedrich_Erdmann_von_Menzel_006.jpg;1848;Adolf_Friedrich_Erdmann_von_Menzel_006.jpg;1848;HHA96w;nan;;;;nan;;nan;nan
pastel on paper;Adolph Menzel;Aufbewahrungssaal während des Museumsumbaus;https://upload.wikimedia.org/wikipedia/commons/b/b5/Adolf_Friedrich_Erdmann_von_Menzel_007.jpg;1848;Adolf_Friedrich_Erdmann_von_Menzel_007.jpg;1848;HHA96w;nan;;;;nan;;nan;nan
Öl auf Pappe;Adolph Menzel;Balkonzimmer;https://upload.wikimedia.org/wikipedia/commons/9/9c/Adolf_Friedrich_Erdmann_von_Menzel_008.jpg;1845;Adolf_Friedrich_Erdmann_von_Menzel_008.jpg;1845;HHA96w;2016-06-12-18-25-41;2016-06-12 18:40:54.099888;0.0;5.0;[{'End': (665, 538, 6.6922149658203125), 'Start': (878, 2, 5.427788019180298)}];7.67554783821106;(683.0, 314.0);(476, 580)
oil on canvas;Adolph Menzel;Ballsouper;https://upload.wikimedia.org/wikipedia/commons/8/8f/Adolf_Friedrich_Erdmann_von_Menzel_009.jpg;1878;Adolf_Friedrich_Erdmann_von_Menzel_009.jpg;1878;HHA96w;2016-06-12-17-46-29;2016-06-12 18:08:38.973597;1.0;0.0;[];2.317396879196167;(683.0, 314.0);(737, 580)
oil on canvas;Adolph Menzel;Ballsouper, Detail;https://upload.wikimedia.org/wikipedia/commons/5/5b/Adolf_Friedrich_Erdmann_von_Menzel_010.jpg;1878;Adolf_Friedrich_Erdmann_von_Menzel_010.jpg;1878;HHA96w;2016-06-24-12-39-28;2016-06-24 12:42:18.405548;0.0;0.0;[];3.3499269485473637;(683.0, 314.0);(680, 580)
oil on canvas;Adolph Menzel;Folk theatre in Tyrol;https://upload.wikimedia.org/wikipedia/commons/3/3a/Adolf_Friedrich_Erdmann_von_Menzel_011.jpg;1859;Adolf_Friedrich_Erdmann_von_Menzel_011.jpg;1859;HHA96w;nan;;;;nan;;nan;nan
oil on canvas;Adolph Menzel;Construction site with willows;https://upload.wikimedia.org/wikipedia/commons/2/2f/Adolf_Friedrich_Erdmann_von_Menzel_012.jpg;1846;Adolf_Friedrich_Erdmann_von_Menzel_012.jpg;1846;HHA96w;2016-05-27-10-50-06;2016-05-27 11:00:25.863867;1.0;4.0;[{'End': (721, 447, 3.7024340629577637), 'Start': (191, 148, 2.763951063156128)}];4.7054829597473145;(683.0, 314.0);(767, 580)
paper;Adolph Menzel;Beati Possidentes (Blessed are those who have);https://upload.wikimedia.org/wikipedia/commons/a/ae/Adolf_Friedrich_Erdmann_von_Menzel_013.jpg;1888;Adolf_Friedrich_Erdmann_von_Menzel_013.jpg;1888;HHA96w;2016-06-03-16-32-59;2016-06-03 17:28:20.644298;1.0;5.0;[{'Start': (992, 64, 2.520108938217163), 'End': (512, 511, 3.5785319805145264)}];4.443235874176025;(683.0, 314.0);(436, 580)
oil on canvas;Adolph Menzel;Berlin-Potsdamer Bahn;https://upload.wikimedia.org/wikipedia/commons/5/59/Adolf_Friedrich_Erdmann_von_Menzel_014.jpg;1847;Adolf_Friedrich_Erdmann_von_Menzel_014.jpg;1847;HHA96w;2016-06-05-19-42-57;2016-06-05 20:09:08.313127;1.0;2.0;[{'Start': (257, 54, 4.910295009613037), 'End': (799, 514, 6.038271903991699)}];6.922914981842041;(683.0, 314.0);(698, 580)
oil on paper mounted on millboard;Adolph Menzel;Berliner Hinterhäuser im Schnee;https://upload.wikimedia.org/wikipedia/commons/0/08/Adolf_Friedrich_Erdmann_von_Menzel_015.jpg;1847;Adolf_Friedrich_Erdmann_von_Menzel_015.jpg;1847;HHA96w;2016-06-05-19-42-57;2016-06-05 20:10:28.635439;0.0;0.0;[];1.5768690109252932;(683.0, 314.0);(1075, 580)
oil on canvas;Adolph Menzel;Blücher und Wellington bei Belle Alliance;https://upload.wikimedia.org/wikipedia/commons/c/cc/Adolf_Friedrich_Erdmann_von_Menzel_016.jpg;1858;Adolf_Friedrich_Erdmann_von_Menzel_016.jpg;1858;HHA96w;2016-06-12-17-46-29;2016-06-12 18:10:58.310823;1.0;5.0;[{'Start': (987, 85, 1.5896379947662354), 'End': (572, 495, 3.1598870754241943)}];4.020600080490111;(683.0, 314.0);(469, 580)
oil on canvas;Adolph Menzel;Bonsoir, Messieurs! (Friedrich der Große in Lissa);https://upload.wikimedia.org/wikipedia/commons/8/8f/Adolf_Friedrich_Erdmann_von_Menzel_017.jpg;1858;Adolf_Friedrich_Erdmann_von_Menzel_017.jpg;1858;HHA96w;2016-06-12-18-25-41;2016-06-12 18:39:08.865029;0.0;4.0;[{'End': (847, 494, 3.993738889694214), 'Start': (394, 51, 2.7502248287200928)}];5.066741943359375;(683.0, 314.0);(433, 580)
oil on canvas;Adolph Menzel;Chodowiecki auf der Jannowitzbrücke;https://upload.wikimedia.org/wikipedia/commons/1/11/Adolf_Friedrich_Erdmann_von_Menzel_018.jpg;1859;Adolf_Friedrich_Erdmann_von_Menzel_018.jpg;1859;HHA96w;2016-06-12-17-46-29;2016-06-12 17:59:57.904042;0.0;0.0;[];10.105565071105957;(683.0, 314.0);(331, 580)
oil on canvas;Adolph Menzel;Daniel Chodowiecki auf der Jannowitzbrücke;https://upload.wikimedia.org/wikipedia/commons/6/62/Adolf_Friedrich_Erdmann_von_Menzel_019.jpg;1859;Adolf_Friedrich_Erdmann_von_Menzel_019.jpg;1859;HHA96w;2016-05-27-10-50-06;2016-05-27 11:16:30.081052;1.0;5.0;[{'End': (751, 383, 3.019415855407715), 'Start': (338, 134, 2.405014991760254)}];3.8052949905395512;(683.0, 314.0);(478, 580)
watercolor on paper;Adolph Menzel;Chor der alten Klosterkirche in Berlin;https://upload.wikimedia.org/wikipedia/commons/5/51/Adolf_Friedrich_Erdmann_von_Menzel_020.jpg;1838;Adolf_Friedrich_Erdmann_von_Menzel_020.jpg;1838;HHA96w;nan;;;;nan;;nan;nan
oil on canvas;Adolph Menzel;Eisenwalzwerk (Moderne Cyklopen);https://upload.wikimedia.org/wikipedia/commons/3/35/Adolf_Friedrich_Erdmann_von_Menzel_021.jpg;between 1872 and 1875;Adolf_Friedrich_Erdmann_von_Menzel_021.jpg;1875;HHA96w;2016-06-10-09-43-06;2016-06-10 10:09:07.509919;0.0;4.0;[{'End': (474, 440, 5.912031173706055), 'Start': (1162, 58, 4.9233009815216064)}];7.565834999084473;(683.0, 314.0);(928, 580)
watercolor on paper;Adolph Menzel;Emilie Menzel am Klavier stehend;https://upload.wikimedia.org/wikipedia/commons/8/8b/Adolf_Friedrich_Erdmann_von_Menzel_022.jpg;1866;Adolf_Friedrich_Erdmann_von_Menzel_022.jpg;1866;HHA96w;2016-06-10-10-47-19;2016-06-10 11:05:17.650863;0.0;5.0;[{'Start': (415, 6, 2.6515140533447266), 'End': (704, 496, 3.6830251216888428)}];4.725080966949463;(683.0, 314.0);(428, 580)
oil on canvas;Adolph Menzel;Flötenkonzert Friedrichs des Großen in Sanssouci.;https://upload.wikimedia.org/wikipedia/commons/7/70/Adolf_Friedrich_Erdmann_von_Menzel_023.jpg;1850-1852;Adolf_Friedrich_Erdmann_von_Menzel_023.jpg;1852;HHA96w;nan;;;;nan;;nan;nan
Ölskizze, Papier auf Leinwand;Adolph Menzel;Friedrich der Große auf Reisen;https://upload.wikimedia.org/wikipedia/commons/f/f7/Adolf_Friedrich_Erdmann_von_Menzel_024.jpg;1850;Adolf_Friedrich_Erdmann_von_Menzel_024.jpg;1850;HHA96w;2016-05-25-12-03-00;2016-05-25 12:03:19.328836;0.0;6.0;[{'Start': (1241, 499, 2.167128086090088), 'End': (674, 391, 2.9901740550994873)}];4.170241117477417;(683.0, 314.0);(857, 580)
oil on canvas;Adolph Menzel;Friedrichsgracht bei Mondschein;https://upload.wikimedia.org/wikipedia/commons/5/50/Adolf_Friedrich_Erdmann_von_Menzel_025.jpg;1847;Adolf_Friedrich_Erdmann_von_Menzel_025.jpg;1847;HHA96w;2016-06-10-10-47-19;2016-06-10 10:56:54.436453;0.0;0.0;[];1.5544497966766355;(683.0, 314.0);(489, 580)
oil on canvas;Adolph Menzel;Fronleichnamsprozession in Hofgastein;https://upload.wikimedia.org/wikipedia/commons/7/74/Adolf_Friedrich_Erdmann_von_Menzel_026.jpg;1880;Adolf_Friedrich_Erdmann_von_Menzel_026.jpg;1880;HHA96w;2016-06-03-16-32-59;2016-06-03 17:01:12.909281;1.0;5.0;[{'Start': (113, 62, 2.1471900939941406), 'End': (1003, 441, 3.197434902191162)}];4.183703899383545;(683.0, 314.0);(799, 580)
oil on canvas;Adolph Menzel;Fronleichnamsprozession in Hofgastein;https://upload.wikimedia.org/wikipedia/commons/4/44/Adolf_Friedrich_Erdmann_von_Menzel_027.jpg;1880;Adolf_Friedrich_Erdmann_von_Menzel_027.jpg;1880;HHA96w;2016-06-12-17-46-29;2016-06-12 18:15:12.502463;1.0;5.0;[{'Start': (366, 52, 7.093845844268799), 'End': (800, 508, 7.959092855453491)}];9.12505292892456;(683.0, 314.0);(490, 580)
oil on paper;Adolph Menzel;Gewitter am Tempelhofer Berg;https://upload.wikimedia.org/wikipedia/commons/d/db/Adolf_Friedrich_Erdmann_von_Menzel_028.jpg;1846;Adolf_Friedrich_Erdmann_von_Menzel_028.jpg;1846;HHA96w;2016-06-03-16-32-59;2016-06-03 17:23:32.770380;0.0;5.0;[{'Start': (1183, 94, 2.8432090282440186), 'End': (375, 497, 3.843780994415283)}];4.77604603767395;(683.0, 314.0);(839, 580)
gouache on paper;Adolph Menzel;Gouachenserie »Das Kinderalbum«, Szene: Trockenplatz;https://upload.wikimedia.org/wikipedia/commons/f/f2/Adolf_Friedrich_Erdmann_von_Menzel_029.jpg;1863;Adolf_Friedrich_Erdmann_von_Menzel_029.jpg;1863;HHA96w;2016-06-10-10-47-19;2016-06-10 11:24:33.288969;1.0;6.0;[{'Start': (1278, 104, 2.6254498958587646), 'End': (544, 442, 3.695917844772339)}];4.647110939025879;(683.0, 314.0);(1100, 517)
paper;Adolph Menzel;Husaren bringen eine polnische Familie auf;https://upload.wikimedia.org/wikipedia/commons/1/1a/Adolf_Friedrich_Erdmann_von_Menzel_030.jpg;1850;Adolf_Friedrich_Erdmann_von_Menzel_030.jpg;1850;HHA96w;2016-06-05-20-43-36;2016-06-05 20:47:05.219089;1.0;4.0;[{'End': (666, 498, 8.384180068969727), 'Start': (840, 0, 7.05812406539917)}];9.38636589050293;(683.0, 314.0);(791, 580)
gouache on paper;Adolph Menzel;At the beer garden;https://upload.wikimedia.org/wikipedia/commons/3/3c/Adolf_Friedrich_Erdmann_von_Menzel_031.jpg;1883;Adolf_Friedrich_Erdmann_von_Menzel_031.jpg;1883;HHA96w;2016-06-03-16-32-59;2016-06-03 16:49:28.553308;1.0;5.0;[{'Start': (207, 74, 2.83671498298645), 'End': (989, 433, 3.861670970916748)}];5.355041027069092;(683.0, 314.0);(781, 580)
oil on canvas;Adolph Menzel;Im Weißen Saal;https://upload.wikimedia.org/wikipedia/commons/c/c7/Adolf_Friedrich_Erdmann_von_Menzel_032.jpg;1888;Adolf_Friedrich_Erdmann_von_Menzel_032.jpg;1888;HHA96w;2016-05-30-11-52-19;2016-05-30 11:54:29.141552;0.0;0.0;[];2.2852489948272705;(683.0, 314.0);(767, 580)
gouache on paper;Adolph Menzel;Kanzelpredigt in der Pfarrkirche zu Innsbruck;https://upload.wikimedia.org/wikipedia/commons/4/4f/Adolf_Friedrich_Erdmann_von_Menzel_033.jpg;1881;Adolf_Friedrich_Erdmann_von_Menzel_033.jpg;1881;HHA96w;2016-06-10-10-47-19;2016-06-10 11:39:58.394990;0.0;5.0;[{'Start': (400, 95, 2.834568977355957), 'End': (685, 501, 3.5631279945373535)}];4.396388053894043;(683.0, 314.0);(375, 580)
paper;Adolph Menzel;Küche in Hofgastein;https://upload.wikimedia.org/wikipedia/commons/f/fe/Adolf_Friedrich_Erdmann_von_Menzel_034.jpg;1873;Adolf_Friedrich_Erdmann_von_Menzel_034.jpg;1873;HHA96w;2016-05-25-12-03-00;2016-05-25 12:23:20.003316;1.0;5.0;[{'Start': (1053, 249, 3.466200113296509), 'End': (699, 432, 4.675271987915039)}];5.696331024169923;(683.0, 314.0);(374, 580)
